system_id,replica,g_protein_family,g_protein_family_label,harmonized_observations,tm_core_rmsd_A_p95,galpha_interface_rmsd_A_p95,contact_retention_p05
Gi_8JZZ,3,Gi,Gi/o,1001,2.199408096170528,4.751080662256822,0.9607843137254902
Gi_8K3Z,1,Gi,Gi/o,1001,1.4225485610534143,3.853788142788977,1.0
Gi_8K3Z,2,Gi,Gi/o,1001,1.2252370964854329,5.722033788971771,0.9787234042553192
Gi_8K3Z,3,Gi,Gi/o,1001,1.4796672646275808,5.367163996253972,0.9777777777777776
Gi_8K6O,1,Gi,Gi/o,1001,2.424358159973142,4.044318760767464,0.9696969696969696
Gi_8K6O,2,Gi,Gi/o,1001,2.424358159973142,4.044318760767464,0.9696969696969696
Gi_8K6O,3,Gi,Gi/o,1001,1.674815433558546,5.534288070060648,0.9166666666666666
Gi_8KFX,1,Gi,Gi/o,1001,2.5219902475945903,4.341416901033144,0.9761904761904762
Gi_8KFX,2,Gi,Gi/o,1001,2.611790679214737,6.123334630307237,0.9534883720930232
Gi_8KFX,3,Gi,Gi/o,1001,2.0239582693336065,4.514634047891626,0.9772727272727272
Gi_8PJK,1,Gi,Gi/o,1001,1.8809378226575544,2.853464841233279,0.8529411764705882
Gi_8PJK,2,Gi,Gi/o,1001,2.4401755816580493,3.8017400058181856,0.7846153846153846
Gi_8PJK,3,Gi,Gi/o,1001,2.358273713977322,4.252014740856578,0.855072463768116
Gi_8UGY,1,Gi,Gi/o,1001,1.32975053895766,5.626213259372449,0.902439024390244
Gi_8UGY,2,Gi,Gi/o,1001,1.3320738692993694,4.416278674857882,0.9166666666666666
Gi_8UGY,3,Gi,Gi/o,1001,1.477558658620576,4.649660917331867,0.8292682926829268
Gi_8WWH,1,Gi,Gi/o,1001,1.8091910287101496,3.1917143984474072,0.967741935483871
Gi_8WWH,2,Gi,Gi/o,1001,2.170069351257973,3.3171280328610324,1.0
Gi_8WWH,3,Gi,Gi/o,1001,2.000776902205551,3.6439382429726432,1.0
Gi_8X8L,1,Gi,Gi/o,1001,2.059022040500505,6.961859994253548,0.8181818181818182
Gi_8X8L,2,Gi,Gi/o,1001,1.571034071908142,4.519601488723329,0.8703703703703703
Gi_8X8L,3,Gi,Gi/o,1001,2.486122607530367,3.8853196655089386,0.92
Gi_8XGM,1,Gi,Gi/o,1001,1.6978417059861337,6.249975376579506,1.0
Gi_8XGM,2,Gi,Gi/o,1001,1.626653024528814,8.466944618025881,0.96875
Gi_8XGM,3,Gi,Gi/o,1001,1.9156781805894767,7.12546992523668,0.9032258064516128
Gi_8XIP,1,Gi,Gi/o,1001,3.176662973731476,5.138732077621159,0.8571428571428571
Gi_8XIP,2,Gi,Gi/o,1001,2.453642444497138,5.636159274938894,1.0
Gi_8XIP,3,Gi,Gi/o,1001,3.010535989146567,5.7543834746969695,0.9032258064516128
Gi_8XIQ,1,Gi,Gi/o,1001,2.893451763151517,9.442099494545944,0.8823529411764706
Gi_8XIQ,2,Gi,Gi/o,1001,2.710100505511341,10.619349957727954,0.8947368421052632
Gi_8XIQ,3,Gi,Gi/o,1001,2.2188061021712926,6.048251886256814,0.925
Gi_8XXU,1,Gi,Gi/o,1001,2.0103393815513493,4.429881779655672,0.9714285714285714
